GID_2,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2,DAPIL
IDN.19.3_1,IDN,Indonesia,IDN.19_1,Maluku,NA,Buru,NA,NA,Kabupaten,Regency,8104,ID.MA.BR,Maluku
IDN.19.2_1,IDN,Indonesia,IDN.19_1,Maluku,NA,BuruSelatan,NA,NA,Kabupaten,Regency,8109,ID.MA.BS,Maluku
IDN.19.4_1,IDN,Indonesia,IDN.19_1,Maluku,NA,KepulauanAru,NA,NA,Kabupaten,Regency,8105,ID.MA.KA,Maluku
IDN.19.5_1,IDN,Indonesia,IDN.19_1,Maluku,NA,MalukuBaratDaya,NA,NA,Kabupaten,Regency,8108,ID.MA.MD,Maluku
IDN.19.6_1,IDN,Indonesia,IDN.19_1,Maluku,NA,MalukuTengah,NA,NA,Kabupaten,Regency,8103,ID.MA.MT,Maluku
IDN.19.8_1,IDN,Indonesia,IDN.19_1,Maluku,NA,MalukuTenggara,NA,NA,Kabupaten,Regency,8102,ID.MA.MN,Maluku
IDN.19.7_1,IDN,Indonesia,IDN.19_1,Maluku,NA,MalukuTenggaraBarat,NA,NA,Kabupaten,Regency,8101,ID.MA.MB,Maluku
IDN.19.9_1,IDN,Indonesia,IDN.19_1,Maluku,NA,SeramBagianBarat,NA,NA,Kabupaten,Regency,8106,ID.MA.SB,Maluku
IDN.19.10_1,IDN,Indonesia,IDN.19_1,Maluku,NA,SeramBagianTimur,NA,NA,Kabupaten,Regency,8107,ID.MA.ST,Maluku
IDN.19.11_1,IDN,Indonesia,IDN.19_1,Maluku,NA,Tual,NA,NA,Kota,City,8172,ID.MA.TU,Maluku
IDN.18.1_1,IDN,Indonesia,IDN.18_1,MalukuUtara,NA,HalmaheraBarat,NA,NA,Kabupaten,Regency,8201,ID.MU.HB,Maluku Utara
IDN.18.2_1,IDN,Indonesia,IDN.18_1,MalukuUtara,NA,HalmaheraSelatan,NA,NA,Kabupaten,Regency,8204,ID.MU.HS,Maluku Utara
IDN.18.3_1,IDN,Indonesia,IDN.18_1,MalukuUtara,NA,HalmaheraTengah,NA,NA,Kabupaten,Regency,8202,ID.MU.HT,Maluku Utara
IDN.18.4_1,IDN,Indonesia,IDN.18_1,MalukuUtara,NA,HalmaheraTimur,NA,NA,Kabupaten,Regency,8206,ID.MU.HI,Maluku Utara
IDN.18.5_1,IDN,Indonesia,IDN.18_1,MalukuUtara,NA,HalmaheraUtara,NA,NA,Kabupaten,Regency,8205,ID.MU.HR,Maluku Utara
IDN.18.6_1,IDN,Indonesia,IDN.18_1,MalukuUtara,NA,KepulauanSula,NA,NA,Kabupaten,Regency,8203,ID.MU.KS,Maluku Utara
IDN.18.7_1,IDN,Indonesia,IDN.18_1,MalukuUtara,NA,PulauMorotai,NA,NA,Kabupaten,Regency,8207,ID.MU.PM,Maluku Utara
IDN.18.8_1,IDN,Indonesia,IDN.18_1,MalukuUtara,NA,Ternate,NA,NA,Kota,City,8271,ID.MU.TE,Maluku Utara
IDN.18.9_1,IDN,Indonesia,IDN.18_1,MalukuUtara,NA,TidoreKepulauan,NA,NA,Kota,City,8272,ID.MU.TK,Maluku Utara
IDN.20.1_1,IDN,Indonesia,IDN.20_1,NusaTenggaraBarat,NA,Bima,NA,NA,Kabupaten,Regency,5206,ID.NB.BI,Nusa Tenggara Barat I
IDN.20.2_1,IDN,Indonesia,IDN.20_1,NusaTenggaraBarat,NA,Dompu,NA,NA,Kabupaten,Regency,5205,ID.NB.DO,Nusa Tenggara Barat I
IDN.20.3_1,IDN,Indonesia,IDN.20_1,NusaTenggaraBarat,NA,KotaBima,NA,NA,Kota,City,5272,ID.NB.BM,Nusa Tenggara Barat I
IDN.20.4_1,IDN,Indonesia,IDN.20_1,NusaTenggaraBarat,NA,LombokBarat,NA,NA,Kabupaten,Regency,5201,ID.NB.LR,Nusa Tenggara Barat II
IDN.20.5_1,IDN,Indonesia,IDN.20_1,NusaTenggaraBarat,NA,LombokTengah,NA,NA,Kabupaten,Regency,5202,ID.NB.LT,Nusa Tenggara Barat II
IDN.20.6_1,IDN,Indonesia,IDN.20_1,NusaTenggaraBarat,NA,LombokTimur,NA,NA,Kabupaten,Regency,5203,ID.NB.LI,Nusa Tenggara Barat II
IDN.20.7_1,IDN,Indonesia,IDN.20_1,NusaTenggaraBarat,NA,LombokUtara,NA,NA,Kabupaten,Regency,5208,ID.NB.LU,Nusa Tenggara Barat II
IDN.20.8_1,IDN,Indonesia,IDN.20_1,NusaTenggaraBarat,NA,Mataram,NA,NA,Kota,City,5271,ID.NB.MA,Nusa Tenggara Barat II
IDN.20.10_1,IDN,Indonesia,IDN.20_1,NusaTenggaraBarat,NA,Sumbawa,NA,NA,Kabupaten,Regency,5204,ID.NB.SU,Nusa Tenggara Barat I
IDN.20.9_1,IDN,Indonesia,IDN.20_1,NusaTenggaraBarat,NA,SumbawaBarat,NA,NA,Kabupaten,Regency,5207,ID.NB.SB,Nusa Tenggara Barat I
IDN.21.1_1,IDN,Indonesia,IDN.21_1,NusaTenggaraTimur,NA,Alor,NA,NA,Kabupaten,Regency,5307,ID.NT.AL,Nusa Tenggara Timur I
IDN.21.2_1,IDN,Indonesia,IDN.21_1,NusaTenggaraTimur,NA,Belu,NA,NA,Kabupaten,Regency,5306,ID.NT.BE,Nusa Tenggara Timur II
IDN.21.3_1,IDN,Indonesia,IDN.21_1,NusaTenggaraTimur,NA,Ende,NA,NA,Kabupaten,Regency,5311,ID.NT.EN,Nusa Tenggara Timur I
IDN.21.4_1,IDN,Indonesia,IDN.21_1,NusaTenggaraTimur,NA,FloresTimur,NA,NA,Kabupaten,Regency,5309,ID.NT.FT,Nusa Tenggara Timur I
IDN.21.5_1,IDN,Indonesia,IDN.21_1,NusaTenggaraTimur,NA,KotaKupang,NA,NA,Kota,City,5371,ID.NT.KM,Nusa Tenggara Timur II
IDN.21.6_1,IDN,Indonesia,IDN.21_1,NusaTenggaraTimur,NA,Kupang,NA,NA,Kabupaten,Regency,5303,ID.NT.KP,Nusa Tenggara Timur II
IDN.21.7_1,IDN,Indonesia,IDN.21_1,NusaTenggaraTimur,NA,Lembata,NA,NA,Kabupaten,Regency,5308,ID.NT.LE,Nusa Tenggara Timur I
IDN.21.10_1,IDN,Indonesia,IDN.21_1,NusaTenggaraTimur,NA,Manggarai,NA,NA,Kabupaten,Regency,5313,ID.NT.MG,Nusa Tenggara Timur I
IDN.21.8_1,IDN,Indonesia,IDN.21_1,NusaTenggaraTimur,NA,ManggaraiBarat,NA,NA,Kabupaten,Regency,5315,ID.NT.MB,Nusa Tenggara Timur I
IDN.21.9_1,IDN,Indonesia,IDN.21_1,NusaTenggaraTimur,NA,ManggaraiTimur,NA,NA,Kabupaten,Regency,5319,ID.NT.MT,Nusa Tenggara Timur I
IDN.21.11_1,IDN,Indonesia,IDN.21_1,NusaTenggaraTimur,NA,Nagekeo,NA,NA,Kabupaten,Regency,5318,ID.NT.NK,Nusa Tenggara Timur I
IDN.21.12_1,IDN,Indonesia,IDN.21_1,NusaTenggaraTimur,NA,Ngada,NA,NA,Kabupaten,Regency,5312,ID.NT.ND,Nusa Tenggara Timur I
IDN.21.13_1,IDN,Indonesia,IDN.21_1,NusaTenggaraTimur,NA,RoteNdao,NA,NA,Kabupaten,Regency,5314,ID.NT.RN,Nusa Tenggara Timur II
IDN.21.14_1,IDN,Indonesia,IDN.21_1,NusaTenggaraTimur,NA,SabuRaijua,NA,NA,Kabupaten,Regency,5320,ID.NT.SJ,Nusa Tenggara Timur II
IDN.21.15_1,IDN,Indonesia,IDN.21_1,NusaTenggaraTimur,NA,Sikka,NA,NA,Kabupaten,Regency,5310,ID.NT.SI,Nusa Tenggara Timur I
IDN.21.17_1,IDN,Indonesia,IDN.21_1,NusaTenggaraTimur,NA,SumbaBarat,NA,NA,Kabupaten,Regency,5301,ID.NT.SR,Nusa Tenggara Timur II
IDN.21.16_1,IDN,Indonesia,IDN.21_1,NusaTenggaraTimur,NA,SumbaBaratDaya,NA,NA,Kabupaten,Regency,5317,ID.NT.SD,Nusa Tenggara Timur II
IDN.21.18_1,IDN,Indonesia,IDN.21_1,NusaTenggaraTimur,NA,SumbaTengah,NA,NA,Kabupaten,Regency,5316,ID.NT.SG,Nusa Tenggara Timur II
IDN.21.19_1,IDN,Indonesia,IDN.21_1,NusaTenggaraTimur,NA,SumbaTimur,NA,NA,Kabupaten,Regency,5302,ID.NT.ST,Nusa Tenggara Timur II
IDN.21.20_1,IDN,Indonesia,IDN.21_1,NusaTenggaraTimur,NA,TimorTengahSelatan,NA,NA,Kabupaten,Regency,5304,ID.NT.TS,Nusa Tenggara Timur II
IDN.21.21_1,IDN,Indonesia,IDN.21_1,NusaTenggaraTimur,NA,TimorTengahUtara,NA,NA,Kabupaten,Regency,5305,ID.NT.TU,Nusa Tenggara Timur II
IDN.23.1_1,IDN,Indonesia,IDN.23_1,Papua,NA,Asmat,NA,NA,Kabupaten,Regency,9415,ID.PA.AS,Papua Selatan
IDN.23.2_1,IDN,Indonesia,IDN.23_1,Papua,NA,BiakNumfor,NA,NA,Kabupaten,Regency,9409,ID.PA.BN,Papua
IDN.23.3_1,IDN,Indonesia,IDN.23_1,Papua,NA,BovenDigoel,NA,NA,Kabupaten,Regency,9413,ID.PA.BD,Papua Selatan
IDN.23.4_1,IDN,Indonesia,IDN.23_1,Papua,NA,Deiyai,NA,NA,Kabupaten,Regency,9436,ID.PA.DE,Papua Tengah
IDN.23.5_1,IDN,Indonesia,IDN.23_1,Papua,NA,Dogiyai,NA,NA,Kabupaten,Regency,9434,ID.PA.DG,Papua Tengah
IDN.23.6_1,IDN,Indonesia,IDN.23_1,Papua,NA,IntanJaya,NA,NA,Kabupaten,Regency,9435,ID.PA.IJ,Papua Tengah
IDN.23.7_1,IDN,Indonesia,IDN.23_1,Papua,NA,Jayapura,NA,NA,Kabupaten,Regency,9403,ID.PA.JR,Papua
IDN.23.8_1,IDN,Indonesia,IDN.23_1,Papua,NA,Jayawijaya,NA,NA,Kabupaten,Regency,9402,ID.PA.JW,Papua Pegunungan
IDN.23.9_1,IDN,Indonesia,IDN.23_1,Papua,NA,Keerom,NA,NA,Kabupaten,Regency,9420,ID.PA.KE,Papua
IDN.23.10_1,IDN,Indonesia,IDN.23_1,Papua,NA,KepulauanYapen,NA,NA,Kabupaten,Regency,9408,ID.PA.YW,Papua
IDN.23.11_1,IDN,Indonesia,IDN.23_1,Papua,NA,KotaJayapura,NA,NA,Kota,City,9471,ID.PA.JM,Papua
IDN.23.12_1,IDN,Indonesia,IDN.23_1,Papua,NA,LannyJaya,NA,NA,Kabupaten,Regency,9430,ID.PA.LJ,Papua Pegunungan
IDN.23.13_1,IDN,Indonesia,IDN.23_1,Papua,NA,MamberamoRaya,NA,NA,Kabupaten,Regency,9428,ID.PA.MR,Papua
IDN.23.14_1,IDN,Indonesia,IDN.23_1,Papua,NA,MamberamoTengah,NA,NA,Kabupaten,Regency,9431,ID.PA.MT,Papua Pegunungan
IDN.23.15_1,IDN,Indonesia,IDN.23_1,Papua,NA,Mappi,NA,NA,Kabupaten,Regency,9414,ID.PA.MP,Papua Selatan
IDN.23.16_1,IDN,Indonesia,IDN.23_1,Papua,NA,Merauke,NA,NA,Kabupaten,Regency,9401,ID.PA.ME,Papua Selatan
IDN.23.17_1,IDN,Indonesia,IDN.23_1,Papua,NA,Mimika,NA,NA,Kabupaten,Regency,9412,ID.PA.MI,Papua Tengah
IDN.23.18_1,IDN,Indonesia,IDN.23_1,Papua,NA,Nabire,NA,NA,Kabupaten,Regency,9404,ID.PA.NB,Papua Tengah
IDN.23.19_1,IDN,Indonesia,IDN.23_1,Papua,NA,Nduga,NA,NA,Kabupaten,Regency,9429,ID.PA.ND,Papua Pegunungan
IDN.23.20_1,IDN,Indonesia,IDN.23_1,Papua,NA,Paniai,NA,NA,Kabupaten,Regency,9410,ID.PA.PN,Papua Tengah
IDN.23.21_1,IDN,Indonesia,IDN.23_1,Papua,NA,PegununganBintang,NA,NA,Kabupaten,Regency,9417,ID.PA.PB,Papua Pegunungan
IDN.23.23_1,IDN,Indonesia,IDN.23_1,Papua,NA,Puncak,NA,NA,Kabupaten,Regency,9433,ID.PA.PU,Papua Tengah
IDN.23.22_1,IDN,Indonesia,IDN.23_1,Papua,NA,PuncakJaya,NA,NA,Kabupaten,Regency,9411,ID.PA.PC,Papua Tengah
IDN.23.24_1,IDN,Indonesia,IDN.23_1,Papua,NA,Sarmi,NA,NA,Kabupaten,Regency,9419,ID.PA.SR,Papua
IDN.23.25_1,IDN,Indonesia,IDN.23_1,Papua,NA,Supiori,NA,NA,Kabupaten,Regency,9427,ID.PA.SU,Papua
IDN.23.26_1,IDN,Indonesia,IDN.23_1,Papua,NA,Tolikara,NA,NA,Kabupaten,Regency,9418,ID.PA.TO,Papua Pegunungan
IDN.23.27_1,IDN,Indonesia,IDN.23_1,Papua,NA,Waropen,NA,NA,Kabupaten,Regency,9426,ID.PA.WR,Papua
IDN.23.28_1,IDN,Indonesia,IDN.23_1,Papua,NA,Yahukimo,NA,NA,Kabupaten,Regency,9416,ID.PA.YA,Papua Pegunungan
IDN.23.29_1,IDN,Indonesia,IDN.23_1,Papua,NA,Yalimo,NA,NA,Kabupaten,Regency,9432,ID.PA.YL,Papua Pegunungan
IDN.22.1_1,IDN,Indonesia,IDN.22_1,PapuaBarat,NA,Fakfak,NA,NA,Kabupaten,Regency,9101,ID.IB.FA,Papua Barat
IDN.22.2_1,IDN,Indonesia,IDN.22_1,PapuaBarat,NA,Kaimana,NA,NA,Kabupaten,Regency,9102,ID.IB.KA,Papua Barat
IDN.22.3_1,IDN,Indonesia,IDN.22_1,PapuaBarat,NA,KotaSorong,NA,NA,Kota,City,9171,ID.IB.SG,Papua Barat Daya
IDN.22.4_1,IDN,Indonesia,IDN.22_1,PapuaBarat,NA,Manokwari,NA,NA,Kabupaten,Regency,9105,ID.IB.MA,Papua Barat
IDN.22.5_1,IDN,Indonesia,IDN.22_1,PapuaBarat,NA,Maybrat,NA,NA,Kabupaten,Regency,9110,ID.IB.MB,Papua Barat Daya
IDN.22.6_1,IDN,Indonesia,IDN.22_1,PapuaBarat,NA,RajaAmpat,NA,NA,Kabupaten,Regency,9108,ID.IB.RA,Papua Barat Daya
IDN.22.8_1,IDN,Indonesia,IDN.22_1,PapuaBarat,NA,Sorong,NA,NA,Kabupaten,Regency,9107,ID.IB.SR,Papua Barat Daya
IDN.22.7_1,IDN,Indonesia,IDN.22_1,PapuaBarat,NA,SorongSelatan,NA,NA,Kabupaten,Regency,9106,ID.IB.SL,Papua Barat Daya
IDN.22.9_1,IDN,Indonesia,IDN.22_1,PapuaBarat,NA,Tambrauw,NA,NA,Kabupaten,Regency,9109,ID.IB.TM,Papua Barat Daya
IDN.22.10_1,IDN,Indonesia,IDN.22_1,PapuaBarat,NA,TelukBintuni,NA,NA,Kabupaten,Regency,9104,ID.IB.TK,Papua Barat
IDN.22.11_1,IDN,Indonesia,IDN.22_1,PapuaBarat,NA,TelukWondama,NA,NA,Kabupaten,Regency,9103,ID.IB.TW,Papua Barat
IDN.24.1_1,IDN,Indonesia,IDN.24_1,Riau,NA,Bengkalis,NA,NA,Kabupaten,Regency,1408,ID.RI.BK,Riau I
IDN.24.2_1,IDN,Indonesia,IDN.24_1,Riau,NA,Dumai,NA,NA,Kota,City,1473,ID.RI.DU,Riau I
IDN.24.3_1,IDN,Indonesia,IDN.24_1,Riau,NA,IndragiriHilir,NA,NA,Kabupaten,Regency,1403,ID.RI.II,Riau II
IDN.24.4_1,IDN,Indonesia,IDN.24_1,Riau,NA,IndragiriHulu,NA,NA,Kabupaten,Regency,1402,ID.RI.IU,Riau II
IDN.24.5_1,IDN,Indonesia,IDN.24_1,Riau,NA,Kampar,NA,NA,Kabupaten,Regency,1406,ID.RI.KA,Riau II
IDN.24.6_1,IDN,Indonesia,IDN.24_1,Riau,NA,KepulauanMeranti,NA,NA,Kabupaten,Regency,1410,ID.RI.KM,Riau I
IDN.24.7_1,IDN,Indonesia,IDN.24_1,Riau,NA,KuantanSingingi,NA,NA,Kabupaten,Regency,1401,ID.RI.KS,Riau II
IDN.24.8_1,IDN,Indonesia,IDN.24_1,Riau,NA,Pekanbaru,NA,NA,Kota,City,1471,ID.RI.PB,Riau I
IDN.24.9_1,IDN,Indonesia,IDN.24_1,Riau,NA,Pelalawan,NA,NA,Kabupaten,Regency,1404,ID.RI.PE,Riau II
IDN.24.10_1,IDN,Indonesia,IDN.24_1,Riau,NA,RokanHilir,NA,NA,Kabupaten,Regency,1409,ID.RI.RI,Riau I
IDN.24.11_1,IDN,Indonesia,IDN.24_1,Riau,NA,RokanHulu,NA,NA,Kabupaten,Regency,1407,ID.RI.RH,Riau I
IDN.24.12_1,IDN,Indonesia,IDN.24_1,Riau,NA,Siak,NA,NA,Kabupaten,Regency,1405,ID.RI.SI,Riau I
IDN.25.1_1,IDN,Indonesia,IDN.25_1,SulawesiBarat,NA,Majene,NA,NA,Kabupaten,Regency,7601,ID.SR.MJ,Sulawesi Barat
IDN.25.2_1,IDN,Indonesia,IDN.25_1,SulawesiBarat,NA,Mamasa,NA,NA,Kabupaten,Regency,7603,ID.SR.MA,Sulawesi Barat
IDN.25.4_1,IDN,Indonesia,IDN.25_1,SulawesiBarat,NA,Mamuju,NA,NA,Kabupaten,Regency,7604,ID.SR.MM,Sulawesi Barat
IDN.25.3_1,IDN,Indonesia,IDN.25_1,SulawesiBarat,NA,MamujuUtara,NA,NA,Kabupaten,Regency,7605,ID.SR.MU,Sulawesi Barat
IDN.25.5_1,IDN,Indonesia,IDN.25_1,SulawesiBarat,NA,PolewaliMandar,NA,NA,Kabupaten,Regency,7602,ID.SR.PM,Sulawesi Barat
IDN.26.1_1,IDN,Indonesia,IDN.26_1,SulawesiSelatan,NA,Bantaeng,NA,NA,Kabupaten,Regency,7303,ID.SE.BT,Sulawesi Selatan I
IDN.26.2_1,IDN,Indonesia,IDN.26_1,SulawesiSelatan,NA,Barru,NA,NA,Kabupaten,Regency,7310,ID.SE.BR,Sulawesi Selatan II
IDN.26.3_1,IDN,Indonesia,IDN.26_1,SulawesiSelatan,NA,Bone,NA,NA,Kabupaten,Regency,7311,ID.SE.BO,Sulawesi Selatan II
IDN.26.4_1,IDN,Indonesia,IDN.26_1,SulawesiSelatan,NA,Bulukumba,NA,NA,Kabupaten,Regency,7302,ID.SE.BU,Sulawesi Selatan II
IDN.26.5_1,IDN,Indonesia,IDN.26_1,SulawesiSelatan,NA,Enrekang,NA,NA,Kabupaten,Regency,7316,ID.SE.EN,Sulawesi Selatan III
IDN.26.6_1,IDN,Indonesia,IDN.26_1,SulawesiSelatan,NA,Gowa,NA,NA,Kabupaten,Regency,7306,ID.SE.GO,Sulawesi Selatan I
IDN.26.7_1,IDN,Indonesia,IDN.26_1,SulawesiSelatan,NA,Jeneponto,NA,NA,Kabupaten,Regency,7304,ID.SE.JE,Sulawesi Selatan I
IDN.26.8_1,IDN,Indonesia,IDN.26_1,SulawesiSelatan,NA,KepulauanSelayar,NA,NA,Kabupaten,Regency,7301,ID.SE.SE,Sulawesi Selatan I
IDN.26.11_1,IDN,Indonesia,IDN.26_1,SulawesiSelatan,NA,Luwu,NA,NA,Kabupaten,Regency,7317,ID.SE.LW,Sulawesi Selatan III
IDN.26.9_1,IDN,Indonesia,IDN.26_1,SulawesiSelatan,NA,LuwuTimur,NA,NA,Kabupaten,Regency,7325,ID.SE.LT,Sulawesi Selatan III
IDN.26.10_1,IDN,Indonesia,IDN.26_1,SulawesiSelatan,NA,LuwuUtara,NA,NA,Kabupaten,Regency,7322,ID.SE.LU,Sulawesi Selatan III
IDN.26.12_1,IDN,Indonesia,IDN.26_1,SulawesiSelatan,NA,Makassar,NA,NA,Kota,City,7371,ID.SE.UP,Sulawesi Selatan I
IDN.26.13_1,IDN,Indonesia,IDN.26_1,SulawesiSelatan,NA,Maros,NA,NA,Kabupaten,Regency,7308,ID.SE.MR,Sulawesi Selatan II
IDN.26.14_1,IDN,Indonesia,IDN.26_1,SulawesiSelatan,NA,Palopo,NA,NA,Kota,City,7373,ID.SE.PA,Sulawesi Selatan III
IDN.26.15_1,IDN,Indonesia,IDN.26_1,SulawesiSelatan,NA,PangkajeneDanKepulauan,NA,NA,Kabupaten,Regency,7309,ID.SE.PK,Sulawesi Selatan II
IDN.26.16_1,IDN,Indonesia,IDN.26_1,SulawesiSelatan,NA,Parepare,NA,NA,Kota,City,7372,ID.SE.PP,Sulawesi Selatan II
